column1,Date,Headline
2094,2017-05-22,Greek stocks rise as Eurogroup meets; Europe-U.S. M&A at decade high - For more see the European equities LiveMarkets blog
2095,2017-05-18,European shares off lows; Brazil-exposed stocks slump
2096,2017-05-18,U.S. politics pressures Europe shares, M&A, earnings provide support
2097,2017-05-18,U.S. political jitters weigh on European shares as M&A, earnings whir in background
2098,2017-05-17,Trump turmoil drags European shares into worst day in 8 months
2099,2017-05-17,European shares dip as concern over U.S. politics, Ubisoft weighs
2100,2017-05-17,European shares dip as concern over U.S. politics, Ubisoft weighs
2101,2017-05-17,Investors seek safety as European shares dip, Ubisoft weighs
2102,2017-05-16,Earnings drag on European shares, though Vodafone lifts telcos
2103,2017-05-16,Earnings a drag on European shares, though Vodafone lifts telcos
2104,2017-05-16,Earnings a drag on European shares, though Vodafone boosts FTSE to fresh record
2105,2017-05-11,Spanish stocks lead European pull-back with worst day in 6 months
2106,2017-05-11,European shares ease, Unicredit boosts Italian banks
2107,2017-05-11,European shares ease, Unicredit boosts Italian banks
2108,2017-05-10,Greek stocks outperform Europe with longest winning run since 1991
2109,2017-05-10,Italian banks, construction stocks pull European shares off high
2110,2017-05-10,Financials a bright spot in rare sluggish day for European earnings
2111,2017-05-09,Earnings, resources stocks help European shares hold at 21-month highs
2112,2017-05-09,Earnings, resources stocks help European shares hold at 21-month highs
2113,2017-05-09,European shares hold at 21-month highs, Micro Focus slides
2114,2017-05-04,Earnings, data, politics push buoyant European shares higher
2115,2017-05-04,European shares power ahead as Q1 earnings season gathers pace, HSBC jumps
2116,2017-05-04,Revenue beats shine for European firms as reporting season nears halfway mark
2117,2017-05-04,European shares power ahead as Q1 earnings season gathers pace, HSBC jumps
2118,2017-05-04,European shares power ahead as Q1 earnings season gathers pace, HSBC jumps
2119,2017-05-03,European shares slip from 20-month highs; Apple suppliers wobble
2120,2017-05-03,Hugo Boss stumbles on online sales drop; Apple suppliers under scrutiny - For more see the European equities LiveMarkets blog
2121,2017-05-03,European shares slip from 20-month highs, Apple suppliers slip
2122,2017-05-03,European shares slip from 20-month highs, Hugo Boss sinks
2123,2017-05-02,European shares stride into May as earnings power gains
2124,2017-05-02,European shares stride into May as earnings power gains
2125,2017-05-02,European shares stride into May as earnings power gains
2126,2017-04-27,European shares fall as ECB stands pat, banks drop
2127,2017-04-27,European shares fall as ECB stands pat, banks drop
2128,2017-04-27,Banks drag European shares down from 20-month highs
2129,2017-04-26,CORRECTED-French stocks hit 9-year high as earnings power European shares
2130,2017-04-26,European shares edge up, Kering charges to record highs
2131,2017-04-26,European shares slip slightly, Kering charges to record highs
2132,2017-04-25,European shares firm as earnings, M&A back in play
2133,2017-04-25,European shares firm as earnings, M&A back in play
2134,2017-04-25,European shares firm as earnings, M&A back in play
2135,2017-04-24,France's CAC 40 set to lead European shares higher
2136,2017-04-21,French stocks slip in flat European market as vote nears
2137,2017-04-21,European shares fall as French stocks come under pre-election pressure
2138,2017-04-21,Miners, earnings support European shares; French stocks under pressure ahead of election
2139,2017-04-20,Man Group, Pandora strength boosts European stocks, French equities rally
2140,2017-04-20,Unilever, Man Group strength boosts European stocks
2141,2017-04-20,Unilever, Man Group strength boosts European stocks
2142,2017-04-19,Results, banking sector bounce help European shares recover
2143,2017-04-19,Results, banking sector bounce help European shares recover
2144,2017-04-19,Results, basic resources' bounce help European shares recover
2145,2017-04-18,European shares hit 3-week lows amid jitters over British, French votes
2146,2017-04-18,European shares hit 3-week low amid jitters over British, French votes
2147,2017-04-18,Miners, oil drag European shares to 2-week low; volatility jumps
2148,2017-04-18,Miners, oil a drag on European shares
2149,2017-04-13,European shares post weekly loss as banks weigh, SCA gains on bid report
2150,2017-04-13,European shares set for weekly loss as banks weigh, SCA shines on bid speculation
2151,2017-04-13,European shares dip, set for weekly loss as banks weigh
2152,2017-04-12,Syngenta, defence stocks help European stocks steady at 16-month peak
2153,2017-04-12,Auto stocks drive European shares to fresh 16-month high
2154,2017-04-12,CORRECTED-Oil plays and autos lift European shares
2155,2017-04-11,Dialog Semi slump, banks weigh on European shares; volatility up
2156,2017-04-11,European shares gain, tech stocks drop on Apple supply chain worries - For more see the European equities LiveMarkets blog
2157,2017-04-11,Dialog Semi slump, banks weigh on European shares; volatility up
2158,2017-04-11,European shares drop as banks and tech stocks weigh
2159,2017-04-07,European shares supported by oil stocks after US strike in Syria
2160,2017-04-07,European shares dip as mining and financial stocks fall
2161,2017-04-07,European shares dip, mining stocks and financials weigh
2162,2017-04-05,European shares end flat as commodity stocks rise but autos fall
2163,2017-04-05,European shares creep higher, oil stocks and miners rise
2164,2017-04-05,Oil stocks, miners push European shares higher
2165,2017-04-04,European shares inch up after choppy day helped by oil stocks
2166,2017-04-04,European shares under pressure as autos, banks fall; oil stocks recover
2167,2017-04-04,REFILE-European shares nudge higher as oil and mining stocks recover
2168,2017-03-30,DAX nears record high as European shares march on
2169,2017-03-30,European shares muted as investors mull Brexit, oil provides support
2170,2017-03-30,European shares muted as investors mull Brexit, oil provides support
2171,2017-03-29,European shares rise in "relaxed" reaction to Brexit day
2172,2017-03-29,European shares inch higher as Brexit divorce process to begin
2173,2017-03-29,European shares inch higher as Brexit divorce process set to begin
2174,2017-03-28,Earnings, deal talk drive European share rebound, DAX stands out
2175,2017-03-28,European shares recover, boosted by results and deal-making
2176,2017-03-28,European shares recover, boosted by results, deals; Booker dips
2177,2017-03-22,European shares hit 2-week low as banks, Gemalto tumble
2178,2017-03-22,European shares hit 2-week low as banks, miners and Gemalto tumble
2179,2017-03-22,European shares stumble as banks, miners, Gemalto fall
2180,2017-03-21,U.S. reform jitters send European shares lower
2181,2017-03-21,European shares edge up, banks gain on soothed French election nerves
2182,2017-03-21,European shares rise on banks, oil, as Fingerprint plummets
2183,2017-03-16,European shares end at 15-month high after Fed, Dutch vote
2184,2017-03-16,European ETF assets hit fresh record in February -ETFGI
2185,2017-03-16,European shares rise to 15-month high as reflation rally resumes
2186,2017-03-16,European shares rise to 15-month high as reflation rally resumes
2187,2017-03-15,Resources stock rally drives European shares to 2-week closing high
2188,2017-03-15,UPDATE 2-Battered pound bounces back from 2-month low
2189,2017-03-15,Basic resource, oil stock rally drives European share rise
2190,2017-03-15,European shares gain on basic resource, oil stocks; Zodiac plummets
2191,2017-03-14,European shares dip on weak banks and energy before Dutch vote, Fed
2192,2017-03-14,European shares dip as Dutch vote and Fed loom, FTSE bucks trend
2193,2017-03-14,European shares dip as Dutch vote and Fed loom, FTSE bucks trend
2194,2017-03-10,Heavyweight banks help European shares as rate hike talk mounts
2195,2017-03-10,BT, banks and oil boost European shares ahead of U.S. jobs data
2196,2017-03-10,Eurozone bank shares extend ECB rally to hit highest levels in more than a year
2197,2017-03-10,BT, oil stocks help European shares pop higher ahead of U.S. jobs data in focus
2198,2017-03-08,European shares inch higher, masking big moves from Adidas, EDF
2199,2017-03-08,European shares make modest gains, masking big moves from Adidas, EDF
2200,2017-03-08,European shares flat, hiding large moves from Adidas, G4S
2201,2017-03-07,European shares slip as Trump tweet hits drugmakers
2202,2017-03-07,European shares slip for 4th day as Aggreko, Casino sink
2203,2017-03-07,European shares slip for 4th straight day as Aggreko, Casino sink
2204,2017-03-03,European shares enjoy best weekly gains of 2017, French banks up
2205,2017-03-03,European shares drop on weaker updates, focus on Fed chair
2206,2017-03-03,European shares drop on weaker updates, WPP and Berendsen slump
2207,2017-03-02,European shares end flat, Melrose and Subsea impress
2208,2017-03-02,European shares edge down, Melrose and Subsea impress
2209,2017-03-02,European shares steady, strong results boost Melrose and Subsea
2210,2017-03-01,Banks, builders boost European shares as Trump-trade back on
2211,2017-03-01,Banks, basic resources lift European shares on Trump-trade
2212,2017-03-01,European shares bounce on results, basic resource stocks
2213,2017-02-28,European shares end February near 14-month peak ahead of key Trump speech
2214,2017-02-28,Earnings underpin European equities, STOXX set for monthly gain
2215,2017-02-28,European shares edge higher, earnings support
2216,2017-02-24,European stocks catch up with bond market jitters as French, German bluechips slide
2217,2017-02-23,European shares slip as pull-back in banks, miners weighs
2218,2017-02-23,European shares edge towards recent highs, Barclays rallies
2219,2017-02-23,European shares steady near highs, Barclays and RSA advance
2220,2017-02-22,Flat European shares helped by positive earnings updates
2221,2017-02-22,European shares hit new 14-month high, positive earnings boost
2222,2017-02-21,European shares climb to 14-month high on positive surveys, HSBC slumps
2223,2017-02-21,European shares edge higher on positive surveys, HSBC slumps
2224,2017-02-21,European shares fall as HSBC leads financials lower
2225,2017-02-20,European shares up, Unilever and Pearson weigh on FTSE - For more see the European equities LiveMarkets blog
2226,2017-02-16,UPDATE 1-European shares retreat after 7 sessions of gains, Cobham plunges
2227,2017-02-16,European shares retreat after 7 sessions of gains, Cobham plunges
2228,2017-02-16,European shares steady after 7 days of gains, Cobham slumps
2229,2017-02-15,European bank shares climb to three-week high in earnings-driven trade
2230,2017-02-15,European banks hit three-week high in earnings-driven trade
2231,2017-02-15,Banks and earnings power European shares
2232,2017-02-14,M&A hopes drive auto stocks higher as European shares steady
2233,2017-02-14,GRAPHIC-French political risk finally shows in equity markets
2234,2017-02-14,European shares set to end winning streak, healthcare weighs ahead of Yellen speech
2235,2017-02-14,European shares set to end winning streak
2236,2017-02-09,European shares end at 2-week high, SocGen and Total advance
2237,2017-02-09,European shares gain for 3rd day, SocGen and Total advance
2238,2017-02-09,European shares boosted by soothing earnings, SocGen and Total up
2239,2017-02-08,Earnings support European shares but political jitters hit banks
2240,2017-02-08,Earnings nudge European shares higher, Storebrand and Vinci lead
2241,2017-02-08,Earnings push European shares higher, Storebrand and Aberdeen lead
2242,2017-02-07,Strong earnings boost European shares, but France lags
2243,2017-02-07,European shares up as earnings cheer offsets weakness in oil, French banks
2244,2017-02-07,European shares up as earnings cheer offsets weakness in oil, French banks
2245,2017-02-02,European shares fall weighed down by poor earnings; Reckitt up
2246,2017-02-02,European shares down on poor earnings, Deutsche Bank suffers
2247,2017-02-02,European shares edge lower on disappointing company updates
2248,2017-02-01,European shares snap losing streak on solid earnings, macro data
2249,2017-02-01,European shares gain ground, led by industrials after strong euro zone manufacturing data
2250,2017-02-01,European shares higher, Volvo and Julius Baer shine after profit beats
2251,2017-01-31,European shares end January lower as Trump rally fades
2252,2017-01-31,European shares set for 3rd month of gains, Ocado soars
2253,2017-01-31,European shares set for 3rd month of gains, Ocado soars
2254,2017-01-31,European shares steady, Ocado rally offsets UPM losses
2255,2017-01-26,M&A boost helps European shares stay at one-year high
2256,2017-01-26,European shares get M&A boost, climb to one-year high
2257,2017-01-26,European shares hit 1-year high on M&A deal, Actelion soars
2258,2017-01-25,Germany's DAX buoyant but Italian shares lag European stock market rally
2259,2017-01-25,European shares up 1 pct as earnings brighten mood
2260,2017-01-24,BT warning, poor earnings weigh on European shares; Generali rallies
2261,2017-01-24,BT slump weighs on European, UK indexes; Generali rallies
2262,2017-01-24,BT slump hits European, UK indexes; Generali rallies
2263,2017-01-19,Zodiac Aerospace rockets after Safran bid, European shares retreat
2264,2017-01-19,Zodiac Aerospace rockets after Safran bid, European shares retreat
2265,2017-01-19,Zodiac Aerospace rockets after Safran bid, boosts European shares
2266,2017-01-18,Earnings in focus as European shares pause after Trump rally; Pearson dives
2267,2017-01-18,European shares retreat as Pearson plummets
2268,2017-01-18,European shares boosted by company updates, though Pearson plummets
2269,2017-01-17,European shares end little changed after Brexit speech
2270,2017-01-17,European shares steady as banks turns positive after May speech
2271,2017-01-17,European shares lower ahead of May speech, weighed by miners and carmakers
2272,2017-01-17,FTSE extends losses ahead of May speech, Europe lower too
2273,2017-01-13,Banks boost European stocks; Britain's FTSE sets record high
2274,2017-01-13,Autos power European stocks, Britain's FTSE sets new high
2275,2017-01-13,FTSE at another record, Fiat rebound lifts European autos stocks
2276,2017-01-12,Fiat Chrysler leads European shares lower on emissions accusations
2277,2017-01-12,European shares down, weighed by healthcare sector after Trump comments
2278,2017-01-11,Pharma weighs on European shares but FTSE sets record-breaking streak
2279,2017-01-11,European shares up, Britain's FTSE set for record-breaking streak
2280,2017-01-11,European shares steady as Sainsbury's soars, Cobham tanks
2281,2017-01-10,FTSE hits new record as miners help European shares inch up
2282,2017-01-10,European shares down as financials weigh, FTSE hits new record
2283,2017-01-09,European shares slip as bank losses offset tech gains; FTSE hits new high
2284,2017-01-09,European shares slip, Britain's FTSE 100 at record high
2285,2017-01-09,European shares slip, Britain's FTSE 100 at a record
2286,2017-01-06,European shares close up from lows after U.S. jobs data
2287,2017-01-06,European shares off lows after U.S. jobs data
2288,2017-01-06,European shares down, FTSE on track for 5th week of gains
2289,2017-01-06,European shares edge lower, FTSE heads for 5th week of gains
2290,2017-01-05,European shares edge higher, Britain's FTSE hits new peak
2291,2017-01-05,European shares steady, Britain's FTSE hits new record peak
2292,2017-01-05,Insurers drag down European shares, FTSE holds near record
2293,2017-01-04,European shares finish slightly lower as Next slumps
2294,2017-01-04,European shares pull back from one-year high as Next slumps
2295,2017-01-04,European retail stocks in the spotlight in quiet European open
2296,2017-01-03,European shares rally as FTSE starts 2017 by setting record high
2297,2017-01-03,FTSE kicks off 2017 on a record high, European stocks firm
2298,2017-01-03,FTSE kicks off 2017 on a record high, European stocks firm
2299,2017-01-02,European shares hit highs as PMI data comes as New Year's gift
2300,2017-01-02,European shares hit highs as PMI data comes as New Year's gift
2301,2017-01-02,German and French share indexes start 2017 on a weaker note
2302,2016-12-30,European shares post small loss for 2016, Britain's FTSE hits record high
2303,2016-12-30,Britain's FTSE set to close 2016 on strong note, Europe lags
2304,2016-12-29,Britain's FTSE sets record closing high as gold miners shine
2305,2016-12-29,European shares ease as miners, banks fall
2306,2016-12-29,European shares ease as miners, banks fall
2307,2016-12-23,Deutsche rises on U.S. mortgage fraud deal, European shares steady
2308,2016-12-23,Deutsche rises on U.S. mortgage fraud deal, buoying European shares
2309,2016-12-23,Credit Suisse and Deutsche Bank rise on U.S. settlements, helping European shares
2310,2016-12-22,Monte Paschi shares sink further, bucking steady European trend
2311,2016-12-22,European shares dip but Italy outperforms despite Monte Paschi volatility
2312,2016-12-22,European shares pull back, Actelion hits record high
2313,2016-12-20,European stocks end at 11-month high on deals, Italy optimism
2314,2016-12-20,European stocks at 11-month highs on deals, Italy optimism
2315,2016-12-15,European shares end at 11-month high on stronger banks
2316,2016-12-15,European shares move towards 11-month high on stronger banks
2317,2016-12-15,Banks lead European shares higher after Fed, EDF slumps
2318,2016-12-14,European shares retreat from 11-month high, Actelion and Colruyt fall
2319,2016-12-14,European shares retreat from 11-month high, Actelion and Colruyt fall
2320,2016-12-14,European shares retreat from 11-month highs, Actelion slumps
2321,2016-12-13,Italy's UniCredit and Mediaset boost European shares to 11-month high
2322,2016-12-13,RPT-Italian banks and Mediaset boost European shares to 11-month high
2323,2016-12-13,Italian banks and Mediaset boost European shares to 11-month high
2324,2016-12-13,Italian banking stocks, Mediaset lift spirits in Europe
2325,2016-12-08,European shares rise to best since January as ECB scales back asset buys
2326,2016-12-08,European shares extends gains; banks rally after ECB cuts asset buys
2327,2016-12-08,Italian banking stocks on track for best week since 2009
2328,2016-12-08,European shares set three-month high, ECB in limelight
2329,2016-12-08,European shares hit three-month high, focus on ECB
2330,2016-12-07,European shares hit Q4 high as banks advance further
2331,2016-12-07,RPT-European shares hit Q4 high as banks advance further
2332,2016-12-07,European shares hit Q4 high as banks advance further
2333,2016-12-07,European shares on a Q4 high as banks gain further ground
2334,2016-12-06,European shares rise as Italy bank rally powers sector
2335,2016-12-06,Utilities lead European shares higher, Italian banks rally
2336,2016-12-06,Weaker commodities shares drag down European equities
2337,2016-12-05,Italian banks seen opening 5-6 pct lower: trader
2338,2016-12-01,Italy outshines weaker European shares as referendum worries ease
2339,2016-12-01,European shares retreat from 3-week high; oil shares in demand
2340,2016-12-01,European shares retreat from 3-week high; oil shares in demand
2341,2016-11-30,European equities powered by OPEC deal; Italy outperforms
2342,2016-11-30,European equities set three-week high on stronger energy stocks
2343,2016-11-30,European shares set for monthly gains as Italy risk looms, RBS slips
2344,2016-11-29,European shares lifted by stronger Italian banks, Actelion rally
2345,2016-11-29,Italian bond yields fall, shares rise on report of ECB help post referendum
2346,2016-11-29,European shares steady as firmer banks offset weaker miners
2347,2016-11-29,Miners drag down European shares, Actelion slumps
2348,2016-11-28,European shares fall, banks knocked by Italy jitters
2349,2016-11-25,European shares end near two-week high, helped by pharma M&A hopes
2350,2016-11-25,European shares head for 3rd week of gains, Actelion leads
2351,2016-11-25,European shares edge lower but head for 3rd week of gains
2352,2016-11-24,European shares edge up in quiet day led by Vestas, Domino's Pizza
2353,2016-11-24,European shares edge up, with chemicals in demand
2354,2016-11-24,European shares edge up, helped by chemical and insurance firms
2355,2016-11-23,European equities end steady, miners underpin market
2356,2016-11-23,European equities steady, miners underpin market
2357,2016-11-23,Metals, mining stocks help European indices to 3rd straight day of gains
2358,2016-11-22,Rally in metals, mining shares boosts European indices
2359,2016-11-21,European shares end up, helped by cyclical stocks
2360,2016-11-21,European shares fall on Italian worries
2361,2016-11-21,Mining shares rebound, pharma under pressure in weak European open
2362,2016-11-18,European shares close lower as dollar strength hits miners
2363,2016-11-18,European shares waver as dollar strength hits miners, props carmakers
2364,2016-11-18,European shares propped up by automakers, miners fall
2365,2016-11-17,Italian shares lag European rebound as referendum jitters hit banks
2366,2016-11-17,European shares edge higher, focus on Yellen
2367,2016-11-17,European shares edge lower as banks extend losses
2368,2016-11-16,European shares weighed down by weaker banks, Bayer drop
2369,2016-11-16,European shares up for third straight session as Wire Card, Bouygues gain
2370,2016-11-16,European shares up for third straight session as commodities gain
2371,2016-11-15,European shares edge up as oil rallies, utilities bounce
2372,2016-11-15,European shares steady as utilities' bounce offset by weak miners
2373,2016-11-15,European shares up as yield plays recover, reflation rally pauses
2374,2016-11-14,Weaker utilities take shine off European equities
2375,2016-11-14,European shares led higher by stronger banks, merger deals
2376,2016-11-14,European shares led higher by stronger banks, miners
2377,2016-11-11,European shares end lower on questions over Trump's stimulus plan
2378,2016-11-11,BAML downgrades European miners to "neutral", upgrades tech sector
2379,2016-11-11,European shares slip on questions over Trump's stimulus plan
2380,2016-11-11,European shares edge higher as strong Allianz update buoys financials
2381,2016-11-10,European shares edge lower as utilities losses offset strong financials
2382,2016-11-10,European construction index climbs to nine-year high
2383,2016-11-10,Rally in banks and miners push European equities to 2-week high
2384,2016-11-10,European shares hit 2-week high; miners and banks lead
2385,2016-11-09,European shares surge in sharp reversal after Trump win
2386,2016-11-09,European shares drop on Trump win, trim losses on acceptance speech
2387,2016-11-09,European shares fall at the open after Trump elected U.S. president
2388,2016-11-09,European stock futures slide on prospect of Trump presidency
2389,2016-11-08,European shares edge up before U.S. vote results
2390,2016-11-08,European shares up in cautious trading, focus on U.S. vote
2391,2016-11-08,European shares up on encouraging earnings, focus on U.S. vote
2392,2016-11-07,European shares rise ahead of U.S. election, earnings help
2393,2016-11-07,CORRECTED-European shares led higher by banks, PostNL soars on rejected bid
2394,2016-11-07,European shares led higher by banks, PostNL soars on rejected bid
2395,2016-11-04,European shares mark worst week since Feb as pharma stocks come under fire
2396,2016-11-04,European shares fall as pharma stocks come under fire; Richemont rallies
2397,2016-11-04,European shares weighed down by pharma stocks; Richemont rallies
2398,2016-11-03,European shares end losing streak but Brexit ruling, CS losses weigh
2399,2016-11-03,European shares set to snap 8-day losing run on solid earnings
2400,2016-11-03,European shares poised to end 8-day losing streak on earnings boost
2401,2016-11-02,European shares end at over three-month low after losing streak
2402,2016-11-02,European shares set for eighth straight day of losses, Moller-Maersk drops
2403,2016-11-02,European shares set for eighth straight day of losses, Moller-Maersk drops
2404,2016-11-01,European shares fall for seventh day on U.S. election worries
2405,2016-11-01,European shares turn lower as BP, Shell head different ways after results
2406,2016-11-01,European shares snap losing streak, boosted by Shell earnings
2407,2016-10-31,European shares fall for 6th day, Spain's IBEX underperforms
2408,2016-10-31,UPDATE 2-Spain breakthrough not enough to allay market concerns over public spending
2409,2016-10-31,European equities fall for 6th straight day as oil stocks slip
2410,2016-10-31,Spain's IBEX off slightly, bonds outperform as political impasse ends
2411,2016-10-28,European shares back in the red for October on weak results
2412,2016-10-28,European shares back in the red for October on weak results
2413,2016-10-28,European shares slip as earnings disappointments bite, Novo slides
2414,2016-10-27,European shares end flat after choppy day, Amec sinks 20 pct
2415,2016-10-27,European shares helped by pharma stocks, reassuring Deutsche update
2416,2016-10-25,European shares give up gains after DAX touches new 2016 peak
2417,2016-10-25,European shares boosted by miners, DAX touches new 2016 peak
2418,2016-10-25,European stocks lifted by Randstad, Orange and miners
2419,2016-10-24,European shares steady, buoyed by bank rally; Spain outperforms
2420,2016-10-24,European shares rise, boosted by U.S. merger moves
2421,2016-10-24,European shares rise, boosted by U.S. merger moves
2422,2016-10-21,European stocks post weekly gain as bounce in banks buoys markets
2423,2016-10-21,European shares supported by tobacco merger plan, earnings
2424,2016-10-21,European shares inch higher, led by Valeo, Yara
2425,2016-10-20,European shares touch 2-week high as euro weakens, banks rally
2426,2016-10-20,European shares fall after ECB decision, profit warnings weigh
2427,2016-10-20,European shares pegged back by flurry of profit warnings
2428,2016-10-20,European shares slip as profit warnings weigh on market
2429,2016-10-19,European stock markets advance as shares in banks and retailers rise
2430,2016-10-19,European shares propped up by firmer bank and retail stocks
2431,2016-10-18,Commodities-related stocks help European equities to rebound
2432,2016-10-17,European shares fall as weak earnings hit Pearson and Marine Harvest
2433,2016-10-17,European shares fall as Pearson and Marine Harvest slide lower
2434,2016-10-17,European shares drop back as Marine Harvest and Pearson fall
2435,2016-10-14,European shares lifted by stronger banks; Man Group surges
2436,2016-10-14,INVESTMENT FOCUS-Investors pin hopes on autos and oil in bleak outlook for European earnings
2437,2016-10-14,UPDATE 1-European equity fund outflows approach $100 bln - BAML
2438,2016-10-14,European shares lifted by stronger mining and telecom stocks
2439,2016-10-14,European shares rise, lifted by miners and telecom stocks
2440,2016-10-13,European shares knocked back by weak mining and financial stocks
2441,2016-10-13,European shares knocked back by weak mining and financial stocks
2442,2016-10-12,European shares fall slightly as Ericsson slumps
2443,2016-10-12,European shares steady, although Ericsson slumps
2444,2016-10-12,European shares steady, although Ericsson slumps
2445,2016-10-11,European shares weighed by weak commodity stocks, luxury stocks rise
2446,2016-10-11,European shares steady as firmer luxury stocks offset weaker banks
2447,2016-10-11,European stocks slip as shares of oil majors retreat
2448,2016-10-10,European stocks rise helped by oil stocks; Deutsche Bank rebounds
2449,2016-10-10,European stocks slip as Deutsche Bank and airline shares fall
2450,2016-10-10,European stock markets slip as Deutsche Bank falls
2451,2016-10-07,Continental European stock markets slip, underperform UK's FTSE
2452,2016-10-07,Continental European stock markets slip, underperform UK's FTSE
2453,2016-10-07,Mainland European shares slip while weak sterling lifts UK's FTSE
2454,2016-10-06,European shares retreat as easyJet dives; banks outperform
2455,2016-10-06,European shares retreat as easyJet dives; banks outperform
2456,2016-10-06,Recovery in banks lifts European shares
2457,2016-10-05,European shares fall led by utilities, real estate; Tesco soars
2458,2016-10-05,CORRECTION-European shares fall led by utilities, real estate; Tesco soars
2459,2016-10-05,European shares fall on ECB concerns, Tesco soars
2460,2016-10-04,Deutsche Bank and Pearson help European shares rally
2461,2016-10-04,Deutsche Bank and Pearson help European shares rally
2462,2016-10-04,Intertek and Deutsche Bank help European shares to advance
2463,2016-10-03,European shares inch up as fund managers advance; FTSE outperforms
2464,2016-10-03,European shares edge up as fund management stocks advance
2465,2016-10-03,European shares dip as banking stocks retreat
2466,2016-09-30,European shares lifted by late surge in Deutsche Bank
2467,2016-09-30,REFILE-European shares tumble as Deutsche Bank worries weigh
2468,2016-09-30,European shares hit 8-week low as Deutsche Bank worries weigh
2469,2016-09-30,European equity futures drop, Deutsche Bank set for fresh falls
2470,2016-09-29,European shares flat as weak drugmakers offset strong oils; Commerzbank dips
2471,2016-09-29,European equities get energy boost; Capita slumps 30 pct
2472,2016-09-29,European shares get energy boost, Capita slumps
2473,2016-09-28,European shares rise as Deutsche Bank recovers
2474,2016-09-27,European shares steady as Deutsche picks up from record lows
2475,2016-09-27,European shares fall as Deutsche Bank drops to record lows
2476,2016-09-27,European shares advance after one-week lows, Carnival leads
2477,2016-09-27,European shares rebound from 1-week low, banks recover
2478,2016-09-26,European shares fall as Deutsche Bank leads financial stocks lower
2479,2016-09-26,European shares fall as Deutsche Bank leads financial stocks lower
2480,2016-09-26,European shares fall as banking and energy stocks decline
2481,2016-09-26,European shares slip as banking and energy stocks fall
2482,2016-09-23,European shares retreat after Fed-inspired rally; Lundbeck slumps
2483,2016-09-23,European shares pull back after Fed-inspired rally; RWE falls
2484,2016-09-23,European shares pull back after Fed-inspired rally; Lundbeck slumps
2485,2016-09-22,European shares buoyed by miners as Fed keeps rates unchanged
2486,2016-09-22,European shares touch 2-week high as Fed keeps rates unchanged
2487,2016-09-22,European shares rally as Fed keeps rates unchanged
2488,2016-09-21,Banks and miners help European stocks to end higher
2489,2016-09-21,Banking shares lead bounce across European stocks
2490,2016-09-21,Banking shares lead bounce across European stocks
2491,2016-09-20,European shares steady before central bank decisions; Italy lags
2492,2016-09-20,European equities steady as weaker oil shares offset chemicals
2493,2016-09-20,European shares inch lower on weaker energy stocks
2494,2016-09-19,European shares rebound, helped by financials, commodity stocks
2495,2016-09-19,European shares bounce back as banks, energy companies rise
2496,2016-09-19,European shares rise, lifted by banks and energy companies
2497,2016-09-16,European shares end at six-week lows as Deutsche Bank slumps
2498,2016-09-16,European shares head for worst week in three months, Deutsche Bank slumps
2499,2016-09-16,European shares head for weekly loss, Deutsche Bank slumps
2500,2016-09-15,European shares snap losing streak after choppy day; Morrisons top gainer
2501,2016-09-15,European shares edge up, remain near one-month lows
2502,2016-09-14,European shares end lower as Bayer gives up gains
2503,2016-09-14,European shares break four-day losing streak, miners lead
2504,2016-09-14,European shares break four-day losing streak, miners lead
2505,2016-09-13,European shares extend losing streak, weighed down by oils
2506,2016-09-13,European shares flat after three days of losses
2507,2016-09-13,European shares rise to end three-day losing streak
2508,2016-09-13,European stock markets seen higher at open
2509,2016-09-12,European shares drop for third day but sell-off loses strength
2510,2016-09-12,European shares fall, poised for biggest loss since June
2511,2016-09-12,European shares slide, poised for biggest loss since June
2512,2016-09-09,European stocks rocked by return of volatility after summer lull
2513,2016-09-09,European shares slip as healthcare stocks lose ground
2514,2016-09-09,European shares slip with healthcare stocks underperforming
2515,2016-09-08,European shares drop as ECB's Draghi cools stimulus talk
2516,2016-09-08,European shares drop as ECB's Draghi cools stimulus talk
2517,2016-09-08,European shares near eight-month highs as Micro Focus surges
2518,2016-09-08,European shares steady, near eight-month highs before ECB meeting
2519,2016-09-07,European shares rise to hover near 8 month highs
2520,2016-09-07,European shares steady near 8 month highs
2521,2016-09-07,European shares steady near 8 month high
2522,2016-09-06,European shares pull back from highest level since January
2523,2016-09-06,European shares hover near 3-mo highs, though Ingenico slumps
2524,2016-09-06,REFILE-European shares hover near 3-mo highs, Ingenico slumps
2525,2016-09-05,Temenos helps European equities hit 8-month high
2526,2016-09-05,European shares touch 4-month high, SFR surges higher
2527,2016-09-02,European shares rise to highest level in more than three months
2528,2016-09-02,European shares lifted by firmer utility, mining stocks
2529,2016-09-02,European shares edge higher before key U.S. data
2530,2016-09-02,European shares open steady before key U.S data
2531,2016-09-01,European shares end off highs after disappointing U.S. data
2532,2016-09-01,European shares boosted by rally in banks, miners
2533,2016-09-01,European shares rise, buoyed by Elekta
2534,2016-08-31,Merger talk boosts banks but European shares end lower
2535,2016-08-31,European shares set new 2-week high, Commerzbank gains
2536,2016-08-31,European shares steady, Commerzbank up on merger report
2537,2016-08-29,European shares lower on U.S. rate hike expectations, Alstom up
2538,2016-08-29,European shares lower on U.S. rate hike expectations, Alstom up
2539,2016-08-29,European shares edge lower; Alstom rises on contract win
2540,2016-08-26,European shares rise as Yellen keeps options open
