,data,headline
1009,"June 18, 2020","French tech tax back on after US ‘provocation,’ finance minister vows"
1010,"June 17, 2020","Mandelson pitches for WTO post, calls for rule book revamp"
1011,"June 17, 2020",UK government preparing ‘shock and awe’ Brexit media campaign
1012,"June 17, 2020",UK launches formal bid to join trans-Pacific trade alliance
1013,"June 17, 2020",Hogan under pressure to decide on WTO candidacy
1014,"June 17, 2020","UK to launch trade talks with Australia, New Zealand ‘in coming weeks’"
1015,"June 16, 2020",Brussels forges new weapons to shield EU market from China
1016,"June 16, 2020",Boris Johnson announces merger of UK foreign and aid departments
1017,"June 16, 2020",Commission muzzles trade chief Hogan over WTO conflicts of interest
1018,"June 16, 2020",Brexit deal’s last hope: Germany
1019,"June 15, 2020",Brexit summit: Tigers and pigs … but no fish
1020,"June 15, 2020",UK and EU agree stalled Brexit talks need ‘new momentum’
1021,"June 15, 2020",Germany buys stake in vaccine company CureVac
1022,"June 15, 2020",EU exports down by almost 30 percent in April
1023,"June 14, 2020","Trump’s WTO criticism is ‘damaging,’ says trade body’s chief"
1024,"June 14, 2020",UK risks being squeezed in trade triangle with EU and US
1025,"June 12, 2020",Nigeria’s WTO candidate looks to bridge the US-China schism
1026,"June 12, 2020","Brussels plans to counter Chinese and US subsidies above €200,000"
1027,"June 12, 2020",UK formally rejects Brexit transition period extension
1028,"June 11, 2020","Boris Johnson, EU leaders to hold Brexit video summit Monday"
1029,"June 10, 2020","EU proposes weekly Brexit talks, ready to make ‘compromises’"
1030,"June 10, 2020",National capitals question EU’s pandemic preparedness
1031,"June 9, 2020",Hogan confirms he’s ‘exploring’ WTO candidacy
1032,"June 9, 2020",German exports plunge by most on record as COVID-19 hits sales
1033,"June 9, 2020",UK launches trade talks with Japan
1034,"June 8, 2020",Former ambassador urges US voters to dump ‘Benito’ Trump
1035,"June 7, 2020",Africa eyes the world’s top trade job — but spars over its candidate
1036,"June 5, 2020",Brexit deadlock: What happens next?
1037,"June 5, 2020",‘No significant progress’ in Brexit talks
1038,"June 3, 2020",EU-China summit postponed due to coronavirus concerns
1039,"June 3, 2020",Airbus CEO: EU should adopt ‘cash for clunkers’ airplane scheme
1040,"May 31, 2020","As Australia clashes with China, the EU lies low"
1041,"May 31, 2020",Michel Barnier: ‘No agreement’ unless UK sticks to Brexit promises
1042,"May 31, 2020","Trump postpones G7, plans to invite more countries, including Russia"
1043,"May 30, 2020",Phil Hogan mulls leaving Commission for WTO top job
1044,"May 29, 2020",UK sets out Hong Kong ‘path to citizenship’ plan
1045,"May 29, 2020",Borrell: China’s move in Hong Kong doesn’t endanger investment deals
1046,"May 29, 2020",Michel Barnier: UK needs to get real if it wants a Brexit deal
1047,"May 28, 2020",EU won’t follow Trump into a trade war over Hong Kong
1048,"May 28, 2020","EU, UK fishing in troubled waters in Brexit talks"
1049,"May 27, 2020",Ursula von der Leyen’s big gamble with borrowed money
1050,"May 27, 2020",Pompeo: China has taken Hong Kong’s autonomy away
1051,"May 27, 2020",European Commission proposes €750B EU recovery package
1052,"May 26, 2020",Merkel and Macron need a Korean lesson
1053,"May 24, 2020",Trump adviser compares China’s handling of coronavirus to Chernobyl
1054,"May 22, 2020",Australia ‘very concerned’ over reports Beijing is boycotting its coal
1055,"May 20, 2020",Merkel warns against protectionism in face of coronavirus recession
1056,"May 20, 2020",UK holds its nose on Northern Irish border
1057,"May 20, 2020",Barnier’s letter to UK: Let’s stop sending letters about Brexit
1058,"May 19, 2020",UK negotiator to EU: ‘It does not have to be like this’
1059,"May 19, 2020",UK publishes post-Brexit EU deal negotiating documents
1060,"May 19, 2020",UK unveils post-Brexit tariff regime
1061,"May 18, 2020",Liz Truss takes on US and the world
1062,"May 18, 2020",Macron and Merkel defy Brussels with push for industrial champions
1063,"May 18, 2020",Sweden won’t dodge economic hit despite COVID-19 light touch
1064,"May 17, 2020",A solution to the Brexit transition conundrum
1065,"May 15, 2020",Brexit’s game of chicken increases chances of no deal
1066,"May 15, 2020",UK and EU: Very little progress in latest round of Brexit talks
1067,"May 14, 2020",Race for next global trade chief starts early
1068,"May 13, 2020",UK GDP falls 5.8 percent in March in ‘unprecedented’ decline
1069,"May 10, 2020",Brussels starts next round of Brexit talks with low expectations
1070,"May 8, 2020",Brussels rebukes its Beijing envoy over censorship of EU letter
1071,"May 7, 2020",EU ambassador to London shrugs off Brexit deal threat from US
1072,"May 7, 2020",EU trade chief: UK preparing to blame coronavirus for Brexit fallout
1073,"May 7, 2020","China-US tensions harm global anti-virus effort, warns EU envoy in Beijing"
1074,"May 6, 2020",EU’s pivot to China falls foul of Beijing’s censors
1075,"May 6, 2020",Hogan: Brussels will ensure ‘supremacy’ of EU law after German ruling
1076,"May 5, 2020",French farmers sound alarm in cheese market meltdown
1077,"May 5, 2020",5 things to watch in UK-US trade talks
1078,"May 3, 2020",UK trade talks with US begin Tuesday
1079,"April 30, 2020",German ‘corona presidency’ plan pivots to crisis management
1080,"April 30, 2020",Coronavirus: City infection heat maps
1081,"April 29, 2020",Belgian patriots in friteries can’t eat their way out of the potato crisis
1082,"April 29, 2020",The coronavirus cargo conundrum
1083,"April 29, 2020",The world after coronavirus
1084,"April 27, 2020",Beijing doubles down in EU propaganda battle
1085,"April 27, 2020",Michael Gove: Coronavirus will ‘concentrate the minds’ of EU Brexit negotiators
1086,"April 27, 2020",Europe braces for return of wine lakes as coronavirus dampens demand
1087,"April 25, 2020",New British ambassador urges swift US-UK trade negotiations
1088,"April 24, 2020",Groundhog Day for Brexit talks
1089,"April 24, 2020",EU’s Barnier slams UK for lack of progress in Brexit talks
1090,"April 21, 2020",EU leaders draft coronavirus recovery plan
1091,"April 21, 2020",Boris Johnson and Donald Trump agree ‘coordinated’ response to coronavirus
1092,"April 20, 2020",Former UK chancellor pushes to reopen economy
1093,"April 19, 2020",Lobbyists ask EU to pause new laws
1094,"April 17, 2020",Coronavirus ends China’s honeymoon in Africa
1095,"April 16, 2020",Downing Street: UK will say ‘no’ if EU asks for Brexit extension
1096,"April 16, 2020",IMF chief to UK: Don’t make life ‘tougher’ by sticking to Brexit deadline
1097,"April 15, 2020",Merkel sets out plan to reopen Germany from coronavirus lockdown
1098,"April 15, 2020",Will the coronavirus kill the Brexit negotiations?
1099,"April 14, 2020",Brussels warns of friction over lockdown exits
1100,"April 13, 2020",Inside the global race to prevent another depression
1101,"April 10, 2020",Romania bans exports of cereals amid virus crisis
1102,"April 9, 2020",France’s freewheeling Thierry Breton rises to the crisis
1103,"April 9, 2020",Western Balkans call for exemption from EU medical export restrictions
1104,"April 7, 2020","Coronavirus won’t kill globalization, but will clip its wings"
1105,"April 6, 2020",Italy adopts €400B liquidity plan amid coronavirus crisis
1106,"April 5, 2020",Dominic Raab warns against ‘damaging protectionism’ amid pandemic
1107,"April 4, 2020",US cast as culprit in global scrum over coronavirus supplies
1108,"April 3, 2020",EU to suspend tariffs on medical equipment
1109,"April 3, 2020",Coronavirus fuels calls to clamp down on EU wildlife trade
1110,"April 1, 2020",What Europe is (and isn’t) buying during quarantine
1111,"April 1, 2020",The cure for the coronavirus crisis: More trade or less?
1112,"April 1, 2020","Panic-buying in UK will return ahead of Brexit transition end, experts say"
1113,"March 31, 2020",Europe’s coronavirus lockdown measures compared
1114,"March 31, 2020",Europe completes first export deal with Iran to dodge US sanctions
1115,"March 31, 2020",Macron urges massive increase in local production of medical equipment
1116,"March 30, 2020","German recession inevitable, say government advisers"
1117,"March 26, 2020",G20 leaders vow ‘whatever it takes’ to fight virus and rescue economy
1118,"March 26, 2020",Economic patriotism is back amid the coronavirus crisis
1119,"March 23, 2020",Coronavirus hits Africa’s mega trade deal plans
1120,"March 23, 2020",Locked-down Europe asks: How long can we afford this?
1121,"March 20, 2020",UK chief Brexit negotiator self-isolates after showing COVID-19 symptoms
1122,"March 19, 2020",Macron: No one knows how long the coronavirus will last
1123,"March 19, 2020",Africa’s coronavirus outbreaks seeded from Europe
1124,"March 19, 2020","Germany will plunge into recession amid coronavirus crisis, economic institute says"
1125,"March 19, 2020",Michel Barnier has coronavirus
1126,"March 19, 2020",Brexit Britain is running out of time
1127,"March 18, 2020",Trump’s trade war proves immune to the coronavirus crisis
1128,"March 18, 2020",Coronavirus crisis hastens remote-control Europe
1129,"March 17, 2020",Merkel expresses concern over impact of border restrictions on EU trade
1130,"March 17, 2020",The EU travel ban explained
1131,"March 17, 2020",Coronavirus kills Brexit negotiations — for now
1132,"March 17, 2020",US to press on with higher Airbus tariffs despite recession fears
1133,"March 17, 2020",UK advises against all but essential travel worldwide
1134,"March 16, 2020",EU weighs into German-American spat over vaccine company
1135,"March 16, 2020",Emmanuel Macron: EU external borders to close from Tuesday
1136,"March 16, 2020",Coronavirus border controls imperil EU freedoms
1137,"March 15, 2020",EU moves to limit exports of medical equipment outside the bloc
1138,"March 13, 2020",Video killed the Brexit-negotiating star
1139,"March 13, 2020","EU wants zero-tariff Brexit deal, but will fine anticompetitive behavior"
1140,"March 12, 2020",Brexit talks could be held via video link due to coronavirus
1141,"March 12, 2020",US-UK trade talks at risk from coronavirus
1142,"March 12, 2020",Pence fills in the details on travel ban after Trump’s speech stokes confusion
1143,"March 12, 2020",Trump announces 30-day suspension of most travel from Europe
1144,"March 11, 2020",Michael Gove: Coronavirus could delay Brexit talks
1145,"March 10, 2020",Europe’s reheated industrial strategy
1146,"March 9, 2020",EU’s Africa strategy stresses climate and digital policies
1147,"March 8, 2020",The Commission’s 100-day report card
1148,"March 6, 2020",Coronavirus forces Europe to confront China dependency
1149,"March 5, 2020",5 takeaways from the first round of Brexit talks
1150,"March 5, 2020",UK firms search for new Irish trade routes to avoid Brexit customs woes
1151,"March 5, 2020",Barnier: ‘Very serious’ differences at end of first round of Brexit talks
1152,"March 4, 2020",Whisper it … an EU-UK deal is there to be done
1153,"March 3, 2020",UK trade secretary blasts protectionism in ‘Britain is back’ WTO address
1154,"March 2, 2020",France triggers emergency measures to stop spread of coronavirus
1155,"March 2, 2020",Europe’s last free-traders plan their counterattack
1156,"March 2, 2020","UK strategy for US trade talks promises to protect NHS, food safety standards"
1157,"February 28, 2020",POLITICO’s guide to the Brexit negotiations
1158,"February 27, 2020","African Union to EU: We’ve got our own strategy, thanks"
1159,"February 27, 2020",‘Global Britain’ plans forced to take a back seat over climate
1160,"February 27, 2020","UK publishes Brexit trade mandate, warns it’s ready for no deal"
1161,"February 26, 2020","In search of allies, EU turns to Africa"
1162,"February 26, 2020",EU mulls faster genetically modified food approvals for Trump
1163,"February 26, 2020","Coronavirus will hit the EU economy, Commission says"
1164,"February 25, 2020",Irish deputy PM: Even basic Brexit trade deal at risk if UK tries to evade customs checks
1165,"February 24, 2020",EU ambassadors green-light next Brexit mandate
1166,"February 22, 2020",No budging from leaders means no EU budget (yet)
1167,"February 21, 2020",EU budget summit ends with no deal
1168,"February 19, 2020",British jobs for British robots
1169,"February 19, 2020",Sliding flaws: EU publishes misleading Brexit chart
1170,"February 19, 2020","Europe’s digital vision, explained"
1171,"February 19, 2020",Europe’s data grab
1172,"February 18, 2020",UK shuts the door to unskilled migrants
1173,"February 18, 2020","Mike Pompeo woos Africa, but it’s a tough sell"
1174,"February 18, 2020",UK’s EU guru explains Brexit with dinosaurs and de Gaulle
1175,"February 17, 2020",UK Brexit negotiator: We’re not bluffing on not accepting EU rules
1176,"February 17, 2020",Mark Rutte: Europe’s liberal torchbearer runs into trade winds
1177,"February 14, 2020",Boris Johnson delays trip to see Donald Trump
1178,"February 14, 2020",Zuckerberg to concede Facebook willing to pay more taxes overseas
1179,"February 13, 2020",US charges Huawei with decadeslong theft of American trade secrets
1180,"February 13, 2020",Coronavirus clouds EU economic forecast
1181,"February 12, 2020",Europe under siege — from within
1182,"February 12, 2020",European Parliament ratifies Vietnam trade deal
1183,"February 11, 2020",Free-trading Stockholm six counter French protectionism
1184,"February 11, 2020",Von der Leyen: EU wants more ambitious Brexit trade deal than ‘Australia model’
1185,"February 10, 2020",Scotland ♥ EU but Brussels declares no-glow zone
1186,"February 10, 2020",UK government ‘looking into’ Scotland-Northern Ireland bridge
1187,"February 9, 2020",An all-Africa free-trade deal to warm the EU’s heart
1188,"February 8, 2020",UK foreign secretary: Britain wants trade deal with Japan within the year
1189,"February 7, 2020",Mike Pence: US ‘profoundly disappointed’ by UK’s Huawei devision
1190,"February 7, 2020",UK names Karen Pierce as new ambassador to Washington
1191,"February 6, 2020",UK trade deal faces potential veto from every EU country
1192,"February 6, 2020",Bruno Le Maire says no Brexit bargain on finance for fish
1193,"February 6, 2020",EU big four press Vestager to clear path for champions
1194,"February 5, 2020",UK to unveil trade legislation this month
1195,"February 5, 2020",Britain’s all-you-can-eat approach to global trade
1196,"February 5, 2020",Vestager’s next big fight will be with Europe
1197,"February 5, 2020",EU trade chief: ‘Australia-style’ Brexit agreement means no deal
1198,"February 3, 2020",5 potential clashes in the next phase of Brexit talks
1199,"February 3, 2020",Ethiopia plays Europe off China in bid to boost investment
1200,"February 3, 2020",Boris Johnson: UK will not undercut EU competition rules
1201,"February 3, 2020",Michel Barnier lays out EU’s Brexit trade talks mandate
1202,"February 3, 2020",‘Go back to your cave’: Alibaba’s European expansion triggers anger in Liège
1203,"February 2, 2020",UK hardens rhetoric ahead of trade talks with Brussels
1204,"February 1, 2020",EU turns to alchemy to conjure up trade deal with Trump
1205,"January 31, 2020",What would a Canada-style trade deal with the UK look like?
1206,"January 31, 2020","Trump will demand high price for UK trade deal, says former ambassador"
1207,"January 30, 2020",Washington lets UK slide on Huawei decision
1208,"January 30, 2020","EU’s Franco-German axis will stutter without the Brits, says Vestager"
1209,"January 30, 2020",Pompeo: UK ‘front of line’ for trade talks with US
1210,"January 30, 2020",Pompeo: UK-US relations ‘not at risk’ over Huawei decision
1211,"January 29, 2020",Europe’s Huawei plan explained
1212,"January 29, 2020",Britain leaves its mark on Europe
1213,"January 29, 2020",EU spells out rules for ‘high risk’ 5G suppliers
1214,"January 29, 2020",Heiko Maas: UK must pledge ‘zero unfair competition’ to get ‘zero tariffs’ Brexit trade deal
1215,"January 28, 2020",UK takes the European way on Huawei
1216,"January 28, 2020",Global digital tax talks: All you need to know
1217,"January 28, 2020",Boris Johnson allows Huawei to build parts of UK 5G network
1218,"January 28, 2020",UK’s migration advisers recommend lower salary threshold for skilled workers
1219,"January 28, 2020",US Republicans warn Boris Johnson not to rebuff Trump on Huawei
1220,"January 27, 2020",Tech before US trade for post-Brexit Britain
1221,"January 27, 2020",Barnier: Brexit checks between Britain and Northern Ireland ‘indispensable’
1222,"January 27, 2020",Irish PM: EU will have ‘strong hand’ in Brexit trade talks
1223,"January 27, 2020",Europe vows to finally deliver on its unloved industrial strategy
1224,"January 26, 2020",Barclay: UK will publish post-Brexit EU trade objectives next month
1225,"January 25, 2020",Steven Mnuchin: US ‘focused’ on clinching UK trade deal this year
1226,"January 24, 2020",EU moves to outflank Trump on trade
1227,"January 24, 2020",EU sets up WTO court with group of countries without US
1228,"January 23, 2020",How the US made France blink on digital tax
1229,"January 23, 2020",Michel Barnier aide pushes for ‘ravioli’ Brexit deal — not salami
1230,"January 22, 2020",US and EU eye low-hanging-fruit trade deal
1231,"January 22, 2020",5 things to know about the EU’s Brexit negotiating stance
1232,"January 22, 2020",Von der Leyen: Trade deal with America ‘in a few weeks’
1233,"January 22, 2020",Fishy business: Why access to UK waters is red herring in Brexit talks
1234,"January 22, 2020",Brexit Britain faces the gunboats
1235,"January 22, 2020",Trump: EU ‘more difficult to do business with than China’
1236,"January 22, 2020","Trump: ‘We’re a developing nation, too’"
1237,"January 22, 2020",Von der Leyen calls world leaders to action on climate in Davos
1238,"January 21, 2020",US digital tax proposal gets EU cold shoulder
1239,"January 21, 2020",Trump on China’s Xi: ‘We love each other’
1240,"January 20, 2020",EU threatens fines or trade sanctions if UK reneges on Brexit deal
1241,"January 18, 2020","No alignment with EU rules after Brexit, says UK chancellor"
1242,"January 17, 2020",Germany confirms US car tariff threat over Iran deal
1243,"January 17, 2020",France’s EU minister: Quick UK trade deal depends on Brits
1244,"January 17, 2020",EU trade chief: Effort to ease tensions with US off to ‘good start’
1245,"January 16, 2020",Spy probe shakes up Brussels lobbying culture
1246,"January 16, 2020",Hogan: No unity with US because Trump ‘wants a grievance’
1247,"January 16, 2020",Hogan: EU doesn’t take orders from US on Iran
1248,"January 16, 2020",EU trade chief urges reset in US relationship amid tensions
1249,"January 16, 2020","Trump is not the cause of cooling EU-US ties, says Merkel"
1250,"January 15, 2020",The ‘giant hole’ in Trump’s new China deal
1251,"January 15, 2020",UK airline rescue looms over EU trade talks
1252,"January 14, 2020",Barnier: Goods entering Northern Ireland from Britain will be checked after Brexit
1253,"January 14, 2020",Boris Johnson calls for ‘Trump deal’ to replace Iran nuclear pact
1254,"January 14, 2020",Boris Johnson’s Huawei choice
1255,"January 13, 2020",20 MEPs to watch in 2020
1256,"January 12, 2020",EU’s tough new trade boss seeks reset with Trump
1257,"January 10, 2020",Australian fires show risks of EU trade agenda
1258,"January 10, 2020",Michel Barnier’s new right hand
1259,"January 8, 2020",Salami tactics loom for Brexit trade talks
1260,"January 8, 2020",Johnson says claims he favors Trump trade deal over Middle East security are ‘fiction’
1261,"January 8, 2020",Von der Leyen: EU to pursue ‘unprecedented’ deal with UK
1262,"January 8, 2020",Tech giants push for tariffs as fight over French tax heats up
1263,"January 7, 2020",Push for global digital tax agreement stalls amid tensions
1264,"January 7, 2020",Macron: UK must show flexibility during post-Brexit negotiation
1265,"January 7, 2020",EU trade boss backs France in transatlantic spat over digital tax
1266,"January 2, 2020",New Austrian government will reject Mercosur deal
1267,"January 1, 2020",The 5 most important races for the Arctic
1268,"December 31, 2019",Europe’s big problems in 2020
1269,"December 31, 2019","In 2020, global ‘techlash’ will move from words to action"
1270,"December 31, 2019",2019: The year in figures and charts
1271,"December 30, 2019",EU trade chief: Boris Johnson will back down on Brexit timeline
1272,"December 27, 2019",Von der Leyen: UK trade deal may not be possible by end of 2020
1273,"December 26, 2019",China’s EU ambassador: Don’t block Chinese companies
1274,"December 26, 2019",Europe on the wane
1275,"December 23, 2019",Can Macron douse Australia’s fires?
1276,"December 23, 2019",The rise of the gastronationalists
1277,"December 19, 2019",EU countries gear up for post-Brexit trade battle
1278,"December 19, 2019",Northern Ireland wants to be heard on Brexit
1279,"December 19, 2019",Boris Johnson launches Brexit-focused plan for government
1280,"December 17, 2019",UK told Brexit trade deadline will limit options
1281,"December 17, 2019",Lawmakers call on EU to ban imports from Xinjiang camps
1282,"December 17, 2019",Von der Leyen: EU and UK to launch talks on future relationship ‘ASAP’
1283,"December 17, 2019",Here comes European protectionism
1284,"December 16, 2019",David Davis: UK will diverge from EU trade rules
1285,"December 13, 2019","After Tory election romp, EU adopts new Brexit slogan"
1286,"December 13, 2019",Donald Trump: Tory victory opens door to ‘massive’ UK-US trade deal
1287,"December 13, 2019",What Boris Johnson’s victory means for Brexit
1288,"December 13, 2019","EU ‘ready’ for trade talks after UK election, says Charles Michel"
1289,"December 12, 2019",France claims big win against Vestager in battle for champions
1290,"December 12, 2019",Spot the difference: Draft vs. final Green Deal plan
1291,"December 12, 2019",Ursula von der Leyen’s risky climate gambit
1292,"December 11, 2019",Berlin says a ‘standard’ EU-UK trade deal can be done in 2020
1293,"December 10, 2019",Von der Leyen’s Green Deal faces tough political battles
1294,"December 10, 2019",Trade’s big challenge: How to resurrect the WTO
1295,"December 7, 2019",EU moves away from promise of post-Brexit trade deal in 2020
1296,"December 6, 2019",What we learned from the UK government’s Brexit documents
1297,"December 5, 2019","If you want to protect Europe, prepare for trade war"
1298,"December 4, 2019",EU’s Hogan threatens to hit back if Trump slaps tariffs on France
1299,"December 4, 2019",Thierry Breton: High-speed commissioner
1300,"December 4, 2019",Trump threatens to punish Germany over military spending
1301,"December 3, 2019",Donald Trump: US not interested in NHS ‘even if handed over on silver platter’
1302,"December 3, 2019",Trump’s latest trade war: French Champagne vs. Google taxes
1303,"December 3, 2019","US threatens tariffs on $2.4B French cheeses, other goods in tax dispute"
1304,"December 2, 2019",Boris Johnson pledges to strengthen border security checks on EU nationals
1305,"November 29, 2019",Boris Johnson struggles with questions on trade deals and trust
1306,"November 28, 2019",Luxembourg leads charge against EU tax transparency
1307,"November 28, 2019","Leaked papers hint at post-Brexit trade priorities for UK, US"
1308,"November 28, 2019",EU rebels fight Commission plan to build WTO court without America
1309,"November 27, 2019",Commission takes Denmark to court over fake feta cheese
1310,"November 27, 2019",Scottish National Party’s manifesto explained
1311,"November 27, 2019",Nicola Sturgeon sets SNP demands for post-election deal with Labour
1312,"November 27, 2019",Von der Leyen’s in — now the hard work begins
1313,"November 27, 2019",Labour: Dossier indicates NHS ‘up for sale’ in US trade deal
1314,"November 27, 2019","Tractors block Paris streets as farmers protest trade agreements, low food prices"
1315,"November 27, 2019",Von der Leyen: Innovation investment must rise to match global ambitions
1316,"November 25, 2019",German minister defends criticism of ‘untrustworthy’ US as backlash grows
1317,"November 25, 2019",Tony Blair: ‘No chance’ of UK-EU trade deal on current deadline
1318,"November 25, 2019",Four ways to build trust for the single market
1319,"November 24, 2019",UK Conservative manifesto explained
1320,"November 21, 2019",Trump weighs new trade investigation to justify tariffs on EU
1321,"November 21, 2019",UK Labour’s manifesto explained
1322,"November 21, 2019",The end of world trade as we know it
1323,"November 21, 2019",EU Parliament will vote on new Commission (minus UK) next week
1324,"November 21, 2019",UK Labour launches manifesto with pitch to ‘protect’ free movement
1325,"November 21, 2019",US House of Reps sends bill supporting Hong Kong protesters to Trump
1326,"November 20, 2019",Liberal Democrat manifesto explained
1327,"November 20, 2019",Norway’s ‘northernmost Chinatown’ eyes Arctic opportunity
1328,"November 20, 2019",Merkel allies urge change of tack on Huawei
1329,"November 19, 2019",Brexit takes center stage in first TV debate of UK election
1330,"November 15, 2019",Deep-fried fury: EU launches frites lawsuit against Colombia
1331,"November 15, 2019",Boris Johnson: ‘Bags of time’ to negotiate post-Brexit EU relationship
1332,"November 14, 2019","Close, but no Magyar"
1333,"November 14, 2019",Senior lawmaker: Germany not planning to restrict 5G security requirements
1334,"November 14, 2019",Major trade partners seek compensation from UK and EU over Brexit
1335,"November 14, 2019",MEPs approve French Commissioner-designate Thierry Breton
1336,"November 13, 2019",Thierry Breton’s fate in Socialist hands
1337,"November 13, 2019","Von der Leyen to change some Commission titles, social democrats claim win"
1338,"November 12, 2019",Breton and other Commission nominees get green light on finances
1339,"November 11, 2019",Trump expected to delay auto tariff decision for 6 more months
1340,"November 11, 2019",Xi Jinping hails ‘economic opening’ in Greece visit
1341,"November 8, 2019",US Commerce touts German trade ties ahead of Trump auto tariff decision
1342,"November 8, 2019","Tax dodgers could face global withholding tax, OECD says"
1343,"November 7, 2019",Thierry Breton: I’ll recuse myself from decisions involving former company
1344,"November 7, 2019","Macron, Europe’s wannabe president"
1345,"November 7, 2019","Spend now to rescue economic growth, Dombrovskis says"
1346,"November 6, 2019",Macron ends China visit with slew of trade deals and green pact
1347,"November 6, 2019",Macron takes dig at Trump over climate pact exit: ‘I deplore some choices’
1348,"November 5, 2019",US starts climate pact exit — now what?
1349,"November 4, 2019",EU and China strike deal to protect gourmet food names
1350,"November 1, 2019",Merkel aims to boost trade during India visit
1351,"October 31, 2019",Macron moves to protect EU from Trump-China alliance
1352,"October 31, 2019",Trump: Brexit deal ‘precludes’ US-UK trade agreement
1353,"October 31, 2019",Quarter of world’s pigs expected to die from African Swine Fever
1354,"October 30, 2019",Brussels stuck in the doldrums
1355,"October 30, 2019",Macron strikes back with his champion of champions
1356,"October 30, 2019",Chile’s president cancels COP25 climate summit in Santiago
1357,"October 29, 2019",Germany’s Altmaier taken to hospital after fall at digital conference
1358,"October 25, 2019",Argentine election looms over EU-Mercosur deal
1359,"October 24, 2019",Macron gambles by backing Breton
1360,"October 24, 2019",Macron nominates Thierry Breton as France’s European commissioner
1361,"October 23, 2019",Trump lifts sanctions against Turkey
1362,"October 23, 2019",Boris Johnson’s Brexit man
1363,"October 23, 2019",German MPs demand compensation for UK customs cash-in
1364,"October 22, 2019",Macron’s commissioner conundrum
1365,"October 22, 2019",German MPs urge Merkel to keep Huawei out of 5G network
1366,"October 22, 2019",School of hard knocks for Macron’s MPs
1367,"October 21, 2019",UK Brexit secretary stumbles over detail of deal with EU
1368,"October 21, 2019",Michel Barnier set to lead ‘UK Task Force’ in Brexit phase II
1369,"October 19, 2019",Johnson sends Tusk extension request
1370,"October 18, 2019",Why an EU trade deal may not deliver for post-Brexit Britain
1371,"October 18, 2019","EU at ‘standstill’ over past 5 years, says French business lobby chief"
1372,"October 17, 2019",Pence announces Syria ceasefire deal with Turkey
1373,"October 17, 2019",DUP deals Brexit hammer blow to Boris Johnson ahead of crucial EU summit
1374,"October 17, 2019",UK and EU on verge of Brexit deal
1375,"October 16, 2019",Why Germany’s Huawei move irks more than just Washington
1376,"October 16, 2019",Brexit talks to continue after late-night bargaining
1377,"October 15, 2019",Turkey’s invasion of Syria explained
1378,"October 15, 2019",UK suspends arms sales to Turkey
1379,"October 15, 2019",Michel Barnier: ‘Narrow path’ to Brexit deal still open
1380,"October 15, 2019",Trump to impose sanctions on Turkey over actions in Syria
1381,"October 14, 2019",Queen’s speech: Brexit top priority for UK government
1382,"October 14, 2019",Guerre des frites: EU sues Colombia at WTO over fries
1383,"October 12, 2019",Trump delays tariff increase for China
1384,"October 11, 2019",Rotten tomatoes or standing ovations? Commissioners’ hearings reviewed
1385,"October 10, 2019",France’s Commission pick Sylvie Goulard rejected by Parliament
1386,"October 10, 2019",EU builds anti-Trump trade bazooka
1387,"October 10, 2019",Key MEPs reject Sylvie Goulard after second hearing
1388,"October 9, 2019",EU sounds alarm on foreign interference in 5G networks
1389,"October 9, 2019",Sylvie Goulard to face second hearing on Thursday
1390,"October 8, 2019",A Brexit deal is still possible: Here’s how
1391,"October 8, 2019",Ireland to spend more than €1B on no-deal Brexit planning
1392,"October 8, 2019",MEPs accept Wojciechowski as EU farm commissioner
1393,"October 7, 2019",Germany finalizes proposed changes in competition rules
1394,"October 6, 2019","Cancel your Amazon Prime subscription, save the planet"
1395,"October 4, 2019",MEPs drill down on Goulard ethics queries after hearing
1396,"October 3, 2019",Leo Varadkar: UK Brexit proposals fall short
1397,"October 3, 2019",Johnson’s Brexit plan wins support in House of Commons
1398,"October 2, 2019",EU gives cautious response to UK’s ‘problematic’ Brexit plan
1399,"October 2, 2019",Goulard faces further grilling after rocky hearing
1400,"October 2, 2019",Wanted: Perfect design for Europe’s carbon border tax
1401,"October 2, 2019","Cheese, French wines, planes on Trump target list for $7.5B retaliation award"
1402,"October 2, 2019","Goulard says she’ll ‘respect outcome’ of French probe, ‘regrets’ consulting work"
1403,"October 2, 2019",Boris Johnson publishes new Brexit plan
1404,"October 2, 2019",Boris Johnson tells EU to compromise on Brexit or face no deal
1405,"October 2, 2019",UK to set out ‘final offer’ Brexit plans
1406,"October 1, 2019",Sylvie Goulard’s dangerous moment
1407,"October 1, 2019",EU farm nominee faces further grilling after botched hearing
1408,"October 1, 2019",Boris Johnson denies Irish customs clearance plan
1409,"October 1, 2019",Ireland labels Boris Johnson’s reported backstop plan a ‘non-starter’
1410,"October 1, 2019",Hogan cruises into EU trade job
1411,"September 26, 2019",EU trade boss Malmström says America is not enemy territory
1412,"September 25, 2019",Proposed EU transport chief questioned over €1M in loans
1413,"September 23, 2019",Boris Johnson’s Brexit sock yarn unravels
1414,"September 20, 2019",Germany announces multi-billion euro climate plan
1415,"September 20, 2019",Britain’s Brexit trash problems pile up
1416,"September 19, 2019",Austria threatens to blow up EU trade deal with South America
1417,"September 18, 2019",Parliament drafts timetable for commissioner hearings
1418,"September 18, 2019",Saudis promise ‘material evidence’ of Iranian involvement in oil attacks
1419,"September 17, 2019",Winter is coming: Trump tariff clash looms for von der Leyen
